"n_markers","noise_frac","rep","prop_cor_mean","prop_cor_min","auroc","cci_true","cci_bg","cci_separation","runtime"
7,0.25,2,0.938688595311472,0.838189473460204,0.981058928571432,0.278992054370086,0.687895235988696,0.40890318161861,0.0123300552368164
7,0.25,3,0.937117942560826,0.899346453390382,0.990660714285737,0.249526051073768,0.671177473333902,0.421651422260134,0.012441873550415
7,0.25,4,0.82453531994631,0.504628505850714,0.989166071428578,0.211305762316611,0.612484053195893,0.401178290879282,0.0140411853790283
7,0.25,5,0.915588623208989,0.742772166362686,0.992255357142881,0.274484118506202,0.712365991153278,0.437881872647076,0.0117380619049072
7,0.5,1,0.800813883544754,0.128932454467022,0.997623214285727,0.262731127876416,0.743641148089173,0.480910020212757,0.0136280059814453
7,0.5,2,0.906563038980104,0.721304430024909,0.981078571428568,0.306449645016798,0.727395390604772,0.420945745587973,0.0138061046600342
7,0.5,3,0.95566525376551,0.906750158539241,0.982671428571445,0.303252248349371,0.75977222265721,0.456519974307839,0.0139870643615723
7,0.5,4,0.936581042915847,0.84835065215086,0.974660714285723,0.269601568542548,0.736707047149763,0.467105478607215,0.0137069225311279
7,0.5,5,0.945783041434824,0.865109881662948,0.997601785714295,0.285163699053074,0.739468516328649,0.454304817275574,0.0139248371124268
10,0,1,0.9454790470044,0.883087982266405,0.972191071428563,0.324581321628132,0.733272604539618,0.408691282911485,0.0112669467926025
10,0,2,0.937034761507302,0.830411460804525,0.998537500000003,0.267516278632139,0.759029076154285,0.491512797522146,0.0122730731964111
10,0,3,0.935470822025367,0.80270465430575,0.991839285714308,0.347613673852482,0.765587584215702,0.41797391036322,0.0120689868927002
10,0,4,0.96878955033606,0.941395575111523,0.992708928571475,0.265967772609924,0.760405429990141,0.494437657380217,0.0507678985595703
10,0,5,0.877433043668389,0.517314345060108,0.991816071428613,0.250865874409898,0.674142503082351,0.423276628672453,0.0112969875335693
10,0.1,1,0.943226064197872,0.824987981085114,0.994855357142857,0.290213884332173,0.728629804327642,0.43841591999547,0.0119340419769287
10,0.1,2,0.959528969625747,0.939797920144059,0.973524999999982,0.263341692063012,0.694759536270721,0.431417844207709,0.0143561363220215
10,0.1,3,0.959472696356737,0.910946521258967,0.975705357142834,0.317253550035823,0.727547519392196,0.410293969356373,0.0119760036468506
10,0.1,4,0.949142250371128,0.842003326781224,0.979691071428575,0.276157172715397,0.707095025489337,0.43093785277394,0.0138461589813232
10,0.1,5,0.93346311240487,0.78493454096669,0.993412500000029,0.289818937025532,0.777563858211455,0.487744921185923,0.0133728981018066
10,0.25,1,0.969897696362497,0.948679374409446,0.991376785714315,0.285193595816564,0.736411731943053,0.45121813612649,0.0143780708312988
10,0.25,2,0.928505375536091,0.732609780256191,0.965801785714274,0.361866828329566,0.741861975149473,0.379995146819907,0.0130820274353027
10,0.25,3,0.92496123944778,0.727204609108541,0.997067857142867,0.243675409083035,0.698351472965759,0.454676063882724,0.0127151012420654
10,0.25,4,0.867968887203232,0.50900420327626,0.946953571428552,0.379305287658683,0.829845859879213,0.45054057222053,0.0129919052124023
10,0.25,5,0.892096483391528,0.568045666404637,0.991351785714281,0.327019156239552,0.80568610426446,0.478666948024909,0.0125939846038818
10,0.5,1,0.935534208089459,0.828982066203816,0.998939285714303,0.295275133374359,0.750781846602157,0.455506713227799,0.0176479816436768
10,0.5,2,0.923394514082758,0.725582523314531,0.981417857142875,0.344589645524851,0.765539758675444,0.420950113150593,0.0158171653747559
10,0.5,3,0.924291257107289,0.832741827688045,0.985862500000029,0.301785736877348,0.755083818817656,0.453298081940308,0.015739917755127
10,0.5,4,0.935513886068682,0.838702105322243,0.993133928571463,0.323740352078914,0.774326209443298,0.450585857364384,0.0159609317779541
