"Gene","logFC.unadj","logFC.adj","CCI","CCI_lower_approx","CCI_upper_approx","adj.P.Val.adj","CCI_Rank_Tier","Boot_CCI_median","Boot_CCI_lower","Boot_CCI_upper","Boot_CCI_rank_median","Boot_CCI_rank_lower","Boot_CCI_rank_upper","Prob_CCI_lt_0_2","Prob_CCI_gt_0_5","Prob_top5_low_CCI","Bootstrap_Evaluable","CCI_variant","CompositionTransform","Seed","N_Bootstrap_Per_Seed","PriorityGene"
"GCLM",1.11430992860606,0.941799273687891,0.154813890184008,0,0.536449612320086,8.82028362928047e-05,"Lowest",0.139685794113606,0.0385237152186393,0.356240127213115,8,3,15,0.815,0,0.12,200,"stabilized","ilr",2026,200,FALSE
"GCLM",1.11430992860606,0.941799273687891,0.154813890184008,0,0.536449612320086,8.82028362928047e-05,"Lowest",0.134171950246616,0.0419941079468786,0.315126616856279,8,3,15,0.835,0,0.13,200,"stabilized","ilr",31415,200,FALSE
"GPX4",0.351956053969696,0.43698236423082,0.241582178519494,0,1,0.0418789637434713,"Low-moderate",0.255173203903933,0.0141479962695616,0.832969501386827,14,1.975,20,0.385,0.24,0.135,200,"stabilized","ilr",42,200,FALSE
"GPX4",0.351956053969696,0.43698236423082,0.241582178519494,0,1,0.0418789637434713,"Low-moderate",0.34311481246975,0.0197802420790832,0.787756555292951,15,1.975,20,0.325,0.275,0.12,200,"stabilized","ilr",2026,200,FALSE
"GPX4",0.351956053969696,0.43698236423082,0.241582178519494,0,1,0.0418789637434713,"Low-moderate",0.353830709841424,0.0242491733987746,0.838525870056155,15,1.975,20,0.29,0.27,0.09,200,"stabilized","ilr",31415,200,FALSE
"HMOX1",0.277501924848484,0.317724353214548,0.144944682412652,0,1,0.271880668215021,"Lowest",0.287799113184045,0.0189850677982244,1,14,1,20,0.415,0.265,0.135,200,"stabilized","ilr",42,200,FALSE
"HMOX1",0.277501924848484,0.317724353214548,0.144944682412652,0,1,0.271880668215021,"Lowest",0.302215077795653,0.0138370305217255,0.994842308992959,14,1.975,20,0.325,0.28,0.145,200,"stabilized","ilr",2026,200,FALSE
"HMOX1",0.277501924848484,0.317724353214548,0.144944682412652,0,1,0.271880668215021,"Lowest",0.272114998954026,0.0103010073929433,0.973868006278742,13,1,20,0.385,0.2,0.14,200,"stabilized","ilr",31415,200,FALSE
"IFNG",1.08384030327273,0.882184586745945,0.186056668974081,0,1,0.097573354623695,"Lowest",0.126790853924285,0.00533098200556928,0.503615986235338,8,1,18,0.705,0.035,0.335,200,"stabilized","ilr",42,200,FALSE
"IFNG",1.08384030327273,0.882184586745945,0.186056668974081,0,1,0.097573354623695,"Lowest",0.127176171437507,0.00345634300536978,0.508136260305467,8,1,17,0.705,0.03,0.35,200,"stabilized","ilr",2026,200,FALSE
"IFNG",1.08384030327273,0.882184586745945,0.186056668974081,0,1,0.097573354623695,"Lowest",0.162042885117072,0.0120034043850228,0.661516942989991,9,1,18,0.555,0.09,0.285,200,"stabilized","ilr",31415,200,FALSE
"IL6",3.54199058957575,2.74210616083226,0.225829066598197,0,0.602554010968039,0.000241917945113824,"Low-moderate",0.133068934504802,0.0254550870443877,0.314142296022466,8,2,15,0.825,0,0.13,200,"stabilized","ilr",42,200,FALSE
"IL6",3.54199058957575,2.74210616083226,0.225829066598197,0,0.602554010968039,0.000241917945113824,"Low-moderate",0.145509901171948,0.0324666026545252,0.342202948453659,9,3,15.025,0.8,0,0.105,200,"stabilized","ilr",2026,200,FALSE
