"Gene","Module"
"TYROBP",2
"KLRG1",1
"TRMT1L",8
"DSP",1
"IRF7",6
"BRI3BP",1
"LOC114224",1
"ZNF84",1
"SIRPB2",4
"CA2",5
"ADRB2",1
"GADD45A",1
"AFAP1L2",1
"ZNF600",1
"SRXN1",1
"RHD",5
"NCALD",1
"SESN2",6
"SLC22A16",7
"MPZL2",1
"TOR1A",1
"CAPN2",1
"SASH1",0
"CEBPE",7
"NARF",5
"RPS27",14
"RAP1GAP2",1
"RGS16",1
"CDH1",5
"SPHK1",3
"BLVRB",5
"SEC24A",3
"CHIT1",7
"ANXA4",1
"TMOD1",5
"LDLR",3
"PMP22",7
"CA6",4
"DNAAF11",2
"RFESD",5
"FNIP1",1
"SPATA20",2
"BTK",4
"SOWAHC",3
"ZBTB20",1
"RAPGEF2",1
"CNNM3",1
"TSC22D2",8
"OLIG2",3
"CD86",4
"CDKL1",5
"ROBO1",1
"LRRC2",4
"ALDH5A1",1
"HNMT",4
"PLOD2",9
"CLEC4F",4
"SEMA6A",3
"DUSP2",1
"GNA13",1
"TMEM45A",7
"MCTP1",12
"SYNE1",10
"CMPK2",13
"VPREB3",1
"DPH6",1
"RIPK2",1
"RNF103",8
"LILRA4",1
"CALD1",9
"LGALSL",9
"DMD",2
"TDRD9",10
"TLE3",1
"THEM4",2
"CIMAP1B",2
"FAR2",10
"MBNL3",5
"ZNF44",1
"TSPAN5",5
"SPIDR",4
"KLRC3",1
"CCDC141",1
"OSCAR",10
"GPBAR1",2
"DRC8",3
"BTG3",1
"TTC9",1
"BCL2L15",7
"CSNK1D",3
"FAM153B",1
"ATXN7L1",1
"RGL4",7
"CHKA",1
"SYTL4",9
"C11orf21",4
"DMTN",5
"CLEC2D",15
"CDA",10
"SMARCD3",4
"ACSL6",1
"IFT80",1
"FHIT",1
"ERICH1",1
"TNFRSF10C",6
"SNAI3-AS1",1
"AFG2A",1
"MSANTD3",3
"HMBS",5
"CXCR1",1
"ITSN1",1
"IGH",1
"NFKB1",3
"CD80",3
"P2RY12",9
"MEGF6",1
"DCAF5",1
"TK2",4
"IRF4",2
"TMEM88",1
"TMEM156",1
"CKAP4",6
"TIGD1",1
"SANBR",1
"LAT",1
"GRSF1",1
"SPAG16",1
"PNOC",1
"CATSPER2",1
"UBXN11",2
"MAFB",1
"RIT1",1
"PRF1",1
"CEP78",1
"AOPEP",0
"EIF4G3",1
"DOCK9",1
"PLK2",1
"TMEM161B-DT",1
"LRP6",1
"HEMK2",1
"GPR27",10
"SLC16A6",1
"ZNF226",1
"CSNK1A1",2
"FGF9",3
"TRIM36",3
"TRABD2A",1
"EOMES",1
"CCDC121",1
"LINC00537",1
"CD59",1
"CARD8",12
"PGM5-AS1",1
"ITGB8",3
"ADAM22",1
"PDE4B",1
"ANXA6",1
"GIN1",1
"THEMIS",1
"PSME4",1
"MBOAT2",7
"TLR3",1
"GNG11",9
"ANKLE2",8
"PROK2",1
"NBN",3
"SCML1",4
"NUDT7",1
"PRDX2",5
"AIM2",1
"TMEM45B",6
"TFDP1",1
"PGLS",2
"ZNF582-DT",1
"PRTN3",7
"PEAR1",9
"SIGLEC10",4
"PANX2",1
"LOC145474",1
"CLIC2",5
"FRG1JP",1
"FBLN7",4
"LRIG2",1
"PRUNE2",7
"NSMCE4A",1
"SYTL3",1
"MEGF9",4
"CR1L",5
"ZNF514",1
"SULT1B1",1
"APLP2",1
"PLCB1",4
"EPB41",5
"ERP27",1
"CD300LB",4
