gene,logFC_unadj,logFC_adj,se_unadj,se_adj,p_unadj,p_adj,CCI,CCI_signed,FDR_unadj,FDR_adj
SPECC1,0.0625441273305214,0.0008529931434199811,0.28046289643995326,0.20027381772725114,0.825501641913349,0.9966461141954776,,,0.9452227149958113,0.9982265057387596
SPECC1L,-0.054791180900199646,0.06671055703379775,0.07544668067412275,0.09131089223708132,0.4750277718095737,0.4739448045534722,,,0.7841466579415096,0.6894672957613822
SPEF2,-0.4289004602860125,0.07247618302835734,0.23295316065764649,0.23178725155711394,0.07853621600948028,0.7579267198937113,1.0,1.1689813598708347,0.3966654754241382,0.8762369314080098
SPEG,0.020710252370205046,0.08443187801182493,0.08728274243595502,0.12072230466563295,0.8145421142744342,0.4927830195114806,,,0.9423612454043677,0.7024870178373727
SPEN,0.15089334807548585,0.17419863928808718,0.09556053880981309,0.1269175195648611,0.12798408280937879,0.18588339308664395,0.15444876470593413,0.15444876470593413,0.471871328339179,0.41825354367064954
SPG11,0.14611454510241523,0.08825023751247095,0.10672821054715696,0.1108261746671442,0.18421102410646503,0.43569827793007754,0.3960201740996133,-0.3960201740996133,0.5473449167901182,0.657528962788137
SPG20,-0.31790925018038263,-0.2656669430074202,0.12404722528925251,0.13424087631157836,0.01739602030532465,0.06249074826865688,0.16433088104017096,0.16433088104017096,0.23871336173702914,0.24462206253469168
SPG21,0.03800677093775886,-0.013867505349578882,0.16422913674363565,0.11684917736357542,0.8190309224793045,0.9067756992066112,,,0.9432074959625599,0.9559360466814423
SPG7,-0.11421613920984025,-0.005738198802033105,0.11443482874819363,0.12432579980686673,0.32862175706073915,0.9636687499412808,0.9497601753856277,0.9497601753856277,0.6799516758324281,0.9840331488627357
SPHK1,-0.04400445809456721,0.07510096533136809,0.2087957982793132,0.16578261396050634,0.8349356244161343,0.6556731241099536,,,0.9485936718193679,0.8143744915084803
SPHK2,-0.06775502933851468,-0.05342750512708566,0.07750293449084886,0.08377086597557414,0.39103286230376266,0.5312277852151419,,,0.7315988881664691,0.7306419329985722
SPI1,-0.04281734633591329,-0.2649211851009323,0.3464599375951504,0.14417746793616557,0.9027173154877879,0.081832646458127,,,0.9704049666650594,0.27795610793076986
