"","CD8_Tcells","CD4_Tcells","NK_cells","B_cells","Monocytes","Macrophages","Neutrophils","Erythrocytes"
"32",-5.68325371627086e-21,0.704884803633578,-1.59482283773128e-21,4.12411475448072e-19,4.78161177766009e-23,0.232506115094057,0.0616110574314739,0.000998023840890876
"33",-2.12937066164007e-23,0.673073226240621,0.000341675076998437,-3.27806225042051e-20,4.45085891208962e-07,0.188900400001034,0.0912540869240619,0.0464301666713934
"34",8.79887543581031e-21,0.51232337200312,9.65580036078203e-21,1.21079744251047e-19,7.12410704998795e-06,0.266436366795485,0.132607642895216,0.0886254941991287
"35",-5.4157143366594e-21,0.722481519156578,-1.48189513777075e-21,0.00041563964522323,-7.36427259132415e-22,0.212792252942148,0.0643105882560514,1.26456784004706e-17
"36",3.11131256202229e-07,0.880884232968188,6.94911566337939e-21,0.000272717409392167,-7.24916155655569e-23,0.10075538636933,1.3773362039651e-18,0.0180873521218338
"37",3.81215162782871e-22,0.507534049716214,1.57026315625313e-05,0.000404938391240223,7.7733760888528e-07,0.244040386632529,0.0968299924106042,0.151174152880241
"38",8.93683481262804e-21,0.707754210685977,-2.35194120712026e-21,3.05742548719501e-19,1.03857902539369e-21,0.253152942811175,0.0200355728577055,0.0190572736451421
"39",-4.89552228902975e-23,0.746677000013233,3.86122693828245e-05,0.000389057683578574,1.25881471346041e-07,0.243739149022517,0.00125448689450077,0.0079015682353166
"40",2.98315651427379e-07,0.879519729464577,3.48061640701332e-05,0.00035451392673295,1.31855329373631e-22,0.119116192588017,0.000974459540951665,-3.06466726737521e-19
"41",1.45156671493626e-07,0.836070381543759,3.20300693196458e-05,9.46571963527461e-05,2.49144813502244e-22,0.109987321734932,0.0127425171892783,0.0410729471096869
"42",-8.1845046397958e-22,0.797216350331633,1.99064869268134e-05,5.32658467998951e-20,-1.87928126779425e-22,0.134911623735909,0.0659077536051912,0.00194436584034036
"43",7.29235559302549e-22,0.634500852744127,-2.57467635016095e-20,0.0004459877867755,2.5989706674449e-22,0.331071780962108,0.0339813785069888,-3.06783465354122e-17
"44",4.44385090536398e-22,0.62562220017212,-1.08682828140095e-20,-1.07411078848781e-20,6.40476476298598e-23,0.190844631052648,0.030584153019591,0.152949015755641
