"Gene","logFC.unadj","AveExpr","P.Value.unadj","adj.P.Val.unadj","logFC.adj","P.Value.adj","adj.P.Val.adj","CCI"
"MAP4K4",0.338041326654545,0.0819010877363637,0.0393848104942646,0.0722136881898413,-0.80606011878042,0.0173896932433843,0.157956996687568,1
"MAP4K5",0.26917720190909,0.160371142204545,0.137714957196238,0.20610434584944,0.650077555172601,0.0661000488054523,0.318322052469645,1
"MAP6",0.157544850545454,0.0593828762727273,0.0150433232666244,0.0324659088791071,0.298871110225423,0.0490978757201657,0.273398992439149,0.897054135318713
"MAP6D1",0.32729490860606,0.028525596,0.000185430021208248,0.000803053762502967,0.214401202918301,0.247420735843832,0.602608327320374,0.344929611549932
"MAP7",-0.721182056030302,-0.14523418525,0.000712896904177006,0.00253309706966721,-1.5145096049917,0.000807276057903811,0.0263196644527266,1
"MAP7D1",0.204635308272727,0.0792622124318182,0.0360032508143453,0.0670781208463047,0.500652963176703,0.0115523331118864,0.123636466356268,1
"MAP7D2",-0.154685145939394,-0.453021013454545,0.573609961784314,0.654875206303343,-0.116753500870218,0.853851381274424,0.95673955973862,0.245218406969974
"MAP7D3",-0.0710834804848484,0.0152430830909091,0.375578184010569,0.467447961274373,-0.0496553211808289,0.796123977380066,0.936058231830291,NA
"MAP9",-0.520778771436363,-0.152838688695454,0.00325630736970451,0.00907565437257919,0.00719765784653975,0.981677528244762,0.995570290908814,1
"MAPDA",-0.245685050878788,-0.0111819834772727,0.0031402578513677,0.00881211648041488,-0.44114277946854,0.0200221257557658,0.17137174168913,0.795562155249665
"MAPK1",0.0315017006060607,0.0567554909090909,0.846495506206435,0.885515087142289,-0.328644931331132,0.357079820688026,0.70328564554267,NA
"MAPK10",0.0429096444545454,0.00100502047727273,0.502542697766158,0.590502878331479,-0.00977776764466306,0.943262365969936,0.984280172546947,NA
"MAPK10-AS1",0.158968168878788,0.0635842803409091,0.000203778291833465,0.000870859600180839,0.077341580020727,0.410070136921359,0.744393724409693,0.513477568709372
"MAPK11",0.186396083060606,0.0781783513409091,0.00490997556265451,0.0127666538585763,0.140678861606043,0.339898041152582,0.689045061551076,0.245269217592401
"MAPK12",0.283192311515151,0.102073927454545,0.00013315592225987,0.000603981461312558,0.0205955365906131,0.88856278718631,0.968324419819994,0.927273673213719
"MAPK13",0.406635364939393,0.0886483762954546,0.0608557442578205,0.103990911308775,-0.343041953296956,0.478624224986441,0.78665244205638,1
"MAPK14",0.726502441363636,0.170730012159091,1.07985364731458e-05,6.94795861355915e-05,0.442575280031978,0.153220395689437,0.482527879361146,0.390813774553503
"MAPK15",0.301869535090909,0.0806483557727273,2.34694998256573e-05,0.00013593468098099,0.293045392194332,0.0480798921058327,0.270688009021031,0.0292316443721937
"MAPK1IP1L",0.559077749999999,0.0844299475,8.84004647828787e-06,5.85381367522988e-05,0.530214171352074,0.0486112936844243,0.272105055360891,0.0516271281551188
"MAPK3",0.0872107254848483,0.0129173986136364,0.36715175157034,0.458966554749435,0.0355987458203398,0.869722796515468,0.961282041280877,NA
"MAPK4",0.11381860960606,0.0276815421590909,0.149112602562141,0.22007738113999,0.152730550596233,0.416804088434582,0.749358233164558,0.341876790841595
"MAPK6",0.615797271636363,0.214611351,0.000597868639640354,0.00218210302504183,0.274868264067994,0.480784102102606,0.78825912911753,0.55363838599417
"MAPK7",0.167004537727273,0.147790613522727,0.353006474299615,0.445429760025306,0.659962742875154,0.105135120975401,0.399921715074757,1
"MAPK8",0.367752559818181,0.0338638410454546,0.00553761147847557,0.0141185185280946,0.909667090038734,0.000965627344228102,0.0292531213344759,1
"MAPK8IP1",0.0953193058787878,0.0973994400454545,0.397455198454566,0.488976596554745,0.000650806488225689,0.998061210910641,0.999277845140266,NA
"MAPK8IP2",0.192051538454545,0.0574626200681818,0.00381032512011882,0.0103365717657695,0.194936665067559,0.146347163420987,0.470765020796411,0.015022668582772
"MAPK8IP3",-0.157079040515151,0.0980510056590909,0.404425461944809,0.495845858515981,0.0276382157677473,0.948313658895939,0.985364435628223,1
"MAPK8IP3-AS1",-0.0557842657272727,-0.0221001964318182,0.190700564070266,0.27012528682745,0.0393799435691504,0.675519681303413,0.888384101488329,NA
"MAPK9",-0.490073370848484,-0.124088829045455,1.43128252732488e-06,1.22456083217238e-05,-0.336504357192172,0.0858016916297928,0.360979626906838,0.31335922902816
"MAPKAP1",0.521816687272727,0.165222248181818,0.00571704091101056,0.0144893672744636,0.188221180766605,0.656263266781345,0.880583025142748,0.639296355679343
"MAPKAPK2",0.797458208454545,0.208586253659091,2.89419710842858e-09,6.39809309011309e-08,0.747620879260594,0.00342957045005689,0.0614416753028229,0.0624952237817383
"MAPKAPK3",0.00675151260606067,-0.0989385931818182,0.973029564279252,0.981022914177019,0.046199014997783,0.912791222724231,0.976271727870893,NA
"MAPKAPK5",-1.15961318342424,-0.288470700613636,1.01315303636314e-09,2.67109667796726e-08,-1.10286535175744,0.00177500427750824,0.0423521970348473,0.0489368631522665
"MAPKAPK5-AS1",-0.572048152799999,-0.181202265854545,0.000140568061803425,0.000633832550636008,0.160858533308597,0.55141653746242,0.828879490718535,1
"MAPKBP1",-0.234013043545454,-0.0239489973409091,0.0760434359480318,0.125524277241263,-0.0287076811884839,0.922388833477238,0.979044664575451,0.877324439896412
"MAPRE1",0.799819929727272,0.166802129068182,1.12559955239478e-08,2.00476884415266e-07,0.338264022207775,0.177244596560791,0.518430127318955,0.57707477691495
"MAPRE2",-0.50300963430303,-0.131425384272727,0.00121883785713508,0.00397864298977676,-0.486477680229857,0.055106418873173,0.288572235173274,0.0328660783924733
"MAPRE3",-0.126296557727273,-0.0348112274318182,0.257904788777483,0.346039002534754,-0.073343646669653,0.748800343010265,0.917788631405855,0.419274380953179
"MAPT",0.110975480212121,0.0562917352045454,0.0515104427243128,0.090438666807342,0.0391482576657525,0.76801142913462,0.923889368475091,0.647235068585208
"MAPT-AS1",0.148785044969697,0.0347672581818182,0.012057230153208,0.0269614816671997,0.295396433424665,0.0285016171257879,0.205880563665216,0.985390625010926
"MARCHF1",-2.39711190736363,-0.590010044931818,1.38041117518427e-13,2.00535242490205e-11,-1.85924654295478,0.00132213068431286,0.0355145921553472,0.224380581797869
"MARCHF10",0.0713754579696969,0.0321087077954545,0.223878962143087,0.308288318065877,0.0202108364561332,0.883630018714158,0.966653313200485,NA
"MARCHF10-DT",0.0977599042424241,0.0573522720909091,0.0685568100361513,0.114970211899011,0.0606244722732764,0.625974709464336,0.865008288942135,NA
"MARCHF11",0.0790986456363634,0.0395808201363637,0.190396423241033,0.269784063321098,0.354859797582787,0.00895931455229092,0.107125510786211,NA
"MARCHF11-DT",0.0555094079393939,0.0124975135909091,0.242720457985931,0.328910170714484,-0.139037756832937,0.173136655312125,0.512592995174052,NA
"MARCHF2",-0.0642886783030302,0.00781714963636362,0.6813298709341,0.749912348922673,0.061302441279406,0.826616368091878,0.947071585845225,NA
"MARCHF3",0.703997670484848,0.185380722318182,0.000168837303346499,0.000741965746257896,0.532032872852361,0.171560330954157,0.510402739972975,0.24426898673408
"MARCHF4",0.146167672181818,0.0324227052272727,0.00876428378265595,0.0206397529972009,-0.0916284469190204,0.386868205811456,0.726930975372076,1
"MARCHF5",0.494891727030302,0.128847138363636,1.07441287407784e-10,4.3290730048929e-09,0.775502099689225,6.73896452834344e-07,0.000501799974914663,0.567013666489804
"MARCHF6",0.0725490135454545,-0.0353753879772727,0.684865616095657,0.752950228157061,0.742804664005022,0.0696267500044936,0.325214183365258,NA
"MARCHF6-DT",0.0805856962727272,0.0356807158863636,0.106982765057862,0.166772534331751,-0.104738964581437,0.353585005195961,0.701002264938342,NA
"MARCHF7",0.497958489151514,0.0858805249545455,0.00166206414755356,0.00516342447934337,-0.0155773815740832,0.963737164693828,0.989499839032487,1
"MARCHF8",0.925409314666666,0.228249491818182,0.000317442104982536,0.00127328627947071,0.48402105296774,0.18937316785302,0.535003981365836,0.4769654408092
"MARCHF9",-0.233712587212121,0.0143088935,0.0801665719971018,0.131204563534496,0.046832563778058,0.870207957899357,0.961582150645345,1
"MARCKS",0.792344326666665,0.179381765909091,0.000453716741340743,0.00172896520544817,-0.267627749642408,0.534461645470723,0.821464548656059,1
"MARCKSL1",0.455186964030303,0.119177418795455,0.00113593715969984,0.00375626169795449,0.740735940320144,0.00645410940148506,0.0882378401208152,0.627322394651951
"MARCO",0.0195348578484849,0.144515973340909,0.885775204992327,0.915705547882613,0.274458371718624,0.308780664344556,0.661650721159742,NA
"MARF1",0.353361185515151,0.139514852772727,0.0190256674251054,0.0395380622677234,0.414384828189747,0.102298926224071,0.394532151704609,0.172694809662334
"MARK1",0.0668922927272726,0.00301242736363636,0.141786596907928,0.21102960530867,-0.0365510686960336,0.723778296393425,0.907059009359249,NA
"MARK2",0.0129772056363636,0.00335034331818182,0.830915202115042,0.873108996760651,-0.0559172941371359,0.683234321555369,0.891607242020221,NA
